TC,TC,TC,msTime
84,0,0,1579748377464
84,0,0,1579748377484
84,0,0,1579748377504
84,0,0,1579748377524
84,0,0,1579748377544
84,0,0,1579748377564
83,0,0,1579748377584
83,0,0,1579748377604
83,0,0,1579748377624
83,0,0,1579748377644
83,0,0,1579748377664
83,0,0,1579748377684
83,0,0,1579748377704
83,0,0,1579748377724
83,0,0,1579748377744
83,0,0,1579748377764
83,0,0,1579748377784
83,0,0,1579748377804
83,0,0,1579748377824
83,0,0,1579748377844
83,0,0,1579748377864
83,0,0,1579748377884
83,0,0,1579748377904
83,0,0,1579748377924
83,0,0,1579748377944
83,0,0,1579748377964
83,0,0,1579748377984
83,0,0,1579748378004
83,0,0,1579748378024
83,0,0,1579748378044
83,0,0,1579748378064
83,0,0,1579748378084
83,0,0,1579748378104
83,0,0,1579748378124
83,0,0,1579748378144
83,0,0,1579748378164
83,0,0,1579748378184
83,0,0,1579748378204
84,0,0,1579748378224
84,0,0,1579748378244
84,0,0,1579748378264
84,0,0,1579748378284
84,0,0,1579748378304
83,0,0,1579748378324
83,0,0,1579748378344
83,0,0,1579748378364
83,0,0,1579748378384
83,0,0,1579748378404
82,0,0,1579748378424
82,0,0,1579748378444
82,0,0,1579748378464
82,0,0,1579748378484
82,0,0,1579748378504
82,0,0,1579748378524
83,0,0,1579748378544
83,0,0,1579748378564
83,0,0,1579748378584
83,0,0,1579748378604
83,0,0,1579748378624
83,0,0,1579748378644
83,0,0,1579748378664
83,0,0,1579748378684
83,0,0,1579748378704
83,0,0,1579748378724
83,0,0,1579748378744
83,0,0,1579748378764
83,0,0,1579748378784
83,0,0,1579748378804
83,0,0,1579748378824
83,0,0,1579748378844
83,0,0,1579748378864
83,0,0,1579748378884
83,0,0,1579748378904
83,0,0,1579748378924
83,0,0,1579748378944
84,0,0,1579748378964
84,0,0,1579748378984
84,0,0,1579748379004
84,0,0,1579748379024
84,0,0,1579748379044
82,0,0,1579748379064
82,0,0,1579748379084
82,0,0,1579748379104
82,0,0,1579748379124
82,0,0,1579748379144
82,0,0,1579748379164
84,0,0,1579748379184
84,0,0,1579748379204
84,0,0,1579748379224
84,0,0,1579748379244
84,0,0,1579748379264
83,0,0,1579748379284
83,0,0,1579748379304
83,0,0,1579748379324
83,0,0,1579748379344
83,0,0,1579748379364
83,0,0,1579748379384
83,0,0,1579748379404
83,0,0,1579748379424
83,0,0,1579748379444
83,0,0,1579748379464
83,0,0,1579748379484
83,0,0,1579748379504
83,0,0,1579748379524
83,0,0,1579748379544
83,0,0,1579748379564
83,0,0,1579748379584
83,0,0,1579748379604
83,0,0,1579748379624
83,0,0,1579748379644
83,0,0,1579748379664
83,0,0,1579748379684
83,0,0,1579748379704
83,0,0,1579748379724
83,0,0,1579748379744
83,0,0,1579748379764
83,0,0,1579748379784
83,0,0,1579748379804
82,0,0,1579748379824
82,0,0,1579748379844
82,0,0,1579748379864
82,0,0,1579748379884
82,0,0,1579748379904
83,0,0,1579748379924
83,0,0,1579748379944
83,0,0,1579748379964
83,0,0,1579748379984
83,0,0,1579748380004
83,0,0,1579748380024
83,0,0,1579748380044
83,0,0,1579748380064
83,0,0,1579748380084
83,0,0,1579748380104
83,0,0,1579748380124
82,0,0,1579748380144
82,0,0,1579748380164
82,0,0,1579748380184
82,0,0,1579748380204
82,0,0,1579748380224
83,0,0,1579748380244
83,0,0,1579748380264
83,0,0,1579748380284
83,0,0,1579748380304
83,0,0,1579748380324
83,0,0,1579748380344
83,0,0,1579748380364
83,0,0,1579748380384
83,0,0,1579748380404
83,0,0,1579748380424
83,0,0,1579748380444
83,0,0,1579748380464
83,0,0,1579748380484
83,0,0,1579748380504
83,0,0,1579748380524
83,0,0,1579748380544
82,0,0,1579748380564
82,0,0,1579748380584
82,0,0,1579748380604
82,0,0,1579748380624
82,0,0,1579748380644
83,0,0,1579748380664
83,0,0,1579748380684
83,0,0,1579748380704
83,0,0,1579748380724
83,0,0,1579748380744
83,0,0,1579748380764
83,0,0,1579748380784
83,0,0,1579748380804
83,0,0,1579748380824
83,0,0,1579748380844
83,0,0,1579748380864
82,0,0,1579748380884
82,0,0,1579748380904
82,0,0,1579748380924
82,0,0,1579748380944
82,0,0,1579748380964
83,0,0,1579748380984
83,0,0,1579748381004
83,0,0,1579748381024
83,0,0,1579748381044
83,0,0,1579748381064
83,0,0,1579748381084
83,0,0,1579748381104
83,0,0,1579748381124
83,0,0,1579748381144
83,0,0,1579748381164
83,0,0,1579748381184
83,0,0,1579748381204
83,0,0,1579748381224
83,0,0,1579748381244
83,0,0,1579748381264
83,0,0,1579748381284
83,0,0,1579748381304
83,0,0,1579748381324
83,0,0,1579748381344
83,0,0,1579748381364
83,0,0,1579748381384
83,0,0,1579748381404
83,0,0,1579748381424
83,0,0,1579748381444
83,0,0,1579748381464
83,0,0,1579748381484
83,0,0,1579748381504
83,0,0,1579748381524
83,0,0,1579748381544
83,0,0,1579748381564
83,0,0,1579748381584
83,0,0,1579748381604
83,0,0,1579748381624
83,0,0,1579748381644
83,0,0,1579748381664
83,0,0,1579748381684
83,0,0,1579748381704
83,0,0,1579748381724
82,0,0,1579748381744
82,0,0,1579748381764
82,0,0,1579748381784
82,0,0,1579748381804
82,0,0,1579748381824
82,0,0,1579748381844
82,0,0,1579748381864
82,0,0,1579748381884
82,0,0,1579748381904
82,0,0,1579748381924
82,0,0,1579748381944
82,0,0,1579748381964
82,0,0,1579748381984
82,0,0,1579748382004
82,0,0,1579748382024
82,0,0,1579748382044
82,0,0,1579748382064
82,0,0,1579748382084
82,0,0,1579748382104
82,0,0,1579748382124
82,0,0,1579748382144
83,0,0,1579748382164
83,0,0,1579748382184
83,0,0,1579748382204
83,0,0,1579748382224
83,0,0,1579748382244
83,0,0,1579748382264
83,0,0,1579748382284
83,0,0,1579748382304
83,0,0,1579748382324
83,0,0,1579748382344
83,0,0,1579748382364
83,0,0,1579748382384
83,0,0,1579748382404
83,0,0,1579748382424
83,0,0,1579748382444
83,0,0,1579748382464
83,0,0,1579748382484
83,0,0,1579748382504
83,0,0,1579748382524
83,0,0,1579748382544
83,0,0,1579748382564
83,0,0,1579748382584
83,0,0,1579748382604
83,0,0,1579748382624
83,0,0,1579748382644
83,0,0,1579748382664
83,0,0,1579748382684
82,0,0,1579748382704
82,0,0,1579748382724
82,0,0,1579748382744
82,0,0,1579748382764
82,0,0,1579748382784
82,0,0,1579748382804
82,0,0,1579748382824
82,0,0,1579748382844
82,0,0,1579748382864
82,0,0,1579748382884
83,0,0,1579748382904
83,0,0,1579748382924
83,0,0,1579748382944
83,0,0,1579748382964
83,0,0,1579748382984
83,0,0,1579748383004
83,0,0,1579748383024
83,0,0,1579748383044
83,0,0,1579748383064
83,0,0,1579748383084
83,0,0,1579748383104
83,0,0,1579748383124
83,0,0,1579748383144
83,0,0,1579748383164
83,0,0,1579748383184
83,0,0,1579748383204
83,0,0,1579748383224
83,0,0,1579748383244
83,0,0,1579748383264
83,0,0,1579748383284
83,0,0,1579748383304
82,0,0,1579748383324
82,0,0,1579748383344
82,0,0,1579748383364
82,0,0,1579748383384
82,0,0,1579748383404
82,0,0,1579748383424
82,0,0,1579748383444
82,0,0,1579748383464
82,0,0,1579748383484
82,0,0,1579748383504
82,0,0,1579748383524
